date_day,fever_first_day
2020-05-28,9
2020-05-29,12
2020-05-30,11
2020-05-31,7
2020-06-01,8
2020-06-02,12
2020-06-03,9
2020-06-04,7
2020-06-05,5
2020-06-06,11
2020-06-07,7
2020-06-08,6
2020-06-09,6
2020-06-10,10
2020-06-11,6
2020-06-12,7
2020-06-13,14
2020-06-14,10
2020-06-15,7
2020-06-16,9
2020-06-17,9
2020-06-18,14
2020-06-19,10
2020-06-20,5
2020-06-21,9
2020-06-22,10
2020-06-23,10
2020-06-24,5
2020-06-25,8
2020-06-26,10
2020-06-27,6
2020-06-28,6
2020-06-29,11
2020-06-30,7
2020-07-01,NA
2020-07-02,9
2020-07-03,11
2020-07-04,6
2020-07-05,7
2020-07-06,8
2020-07-07,6
2020-07-08,13
2020-07-09,11
2020-07-10,11
2020-07-11,12
2020-07-12,12
2020-07-13,9
2020-07-14,11
2020-07-15,7
2020-07-16,5
2020-07-17,5
2020-07-18,9
2020-07-19,13
2020-07-20,9
2020-07-21,5
2020-07-22,15
2020-07-23,12
2020-07-24,6
2020-07-25,6
2020-07-26,8
2020-07-27,13
2020-07-28,6
2020-07-29,14
2020-07-30,9
2020-07-31,6
2020-08-01,18
2020-08-02,15
2020-08-03,7
2020-08-04,8
2020-08-05,7
2020-08-06,11
2020-08-07,14
2020-08-08,6
2020-08-09,21
2020-08-10,8
2020-08-11,12
2020-08-12,9
2020-08-13,7
2020-08-14,8
2020-08-15,9
2020-08-16,7
2020-08-17,9
2020-08-18,8
2020-08-19,12
2020-08-20,11
2020-08-21,14
2020-08-22,7
2020-08-23,6
2020-08-24,9
2020-08-25,8
2020-08-26,12
2020-08-27,13
2020-08-28,9
2020-08-29,11
2020-08-30,11
2020-08-31,11
2020-09-01,11
2020-09-02,16
2020-09-03,12
2020-09-04,8
2020-09-05,20
2020-09-06,14
2020-09-07,7
2020-09-08,9
2020-09-09,7
2020-09-10,6
2020-09-11,13
2020-09-12,9
2020-09-13,13
2020-09-14,5
2020-09-15,14
2020-09-16,12
2020-09-17,14
2020-09-18,7
2020-09-19,7
2020-09-20,13
2020-09-21,7
2020-09-22,16
2020-09-23,7
2020-09-24,6
2020-09-25,6
2020-09-26,8
2020-09-27,5
2020-09-28,5
2020-09-29,7
2020-09-30,10
2020-10-01,6
2020-10-02,9
2020-10-03,8
2020-10-04,NA
2020-10-05,12
2020-10-06,10
2020-10-07,11
2020-10-08,9
2020-10-09,14
2020-10-10,9
2020-10-11,7
2020-10-12,6
2020-10-13,NA
2020-10-14,13
2020-10-15,9
2020-10-16,9
2020-10-17,5
2020-10-18,14
2020-10-19,9
2020-10-20,9
2020-10-21,13
2020-10-22,9
2020-10-23,8
2020-10-24,11
2020-10-25,9
2020-10-26,13
2020-10-27,7
2020-10-28,12
2020-10-29,17
2020-10-30,9
2020-10-31,7
2020-11-01,12
2020-11-02,13
2020-11-03,7
2020-11-04,9
2020-11-05,12
2020-11-06,12
2020-11-07,10
2020-11-08,13
2020-11-09,10
2020-11-10,11
2020-11-11,8
2020-11-12,11
2020-11-13,12
2020-11-14,10
2020-11-15,7
2020-11-16,15
2020-11-17,9
2020-11-18,11
2020-11-19,12
2020-11-20,11
2020-11-21,8
2020-11-22,13
2020-11-23,10
2020-11-24,7
2020-11-25,7
2020-11-26,7
2020-11-27,5
2020-11-28,5
2020-11-29,11
2020-11-30,13
2020-12-01,13
2020-12-02,9
2020-12-03,13
2020-12-04,12
2020-12-05,10
2020-12-06,NA
2020-12-07,NA
2020-12-08,9
2020-12-09,12
2020-12-10,8
2020-12-11,15
2020-12-12,6
2020-12-13,7
2020-12-14,16
2020-12-15,8
2020-12-16,8
2020-12-17,5
2020-12-18,7
2020-12-19,6
2020-12-20,8
2020-12-21,9
2020-12-22,7
2020-12-23,7
2020-12-24,9
2020-12-25,10
2020-12-26,13
2020-12-27,8
2020-12-28,17
2020-12-29,6
2020-12-30,10
2020-12-31,12
2021-01-01,5
2021-01-02,NA
2021-01-03,12
2021-01-04,9
2021-01-05,6
2021-01-06,11
2021-01-07,10
2021-01-08,5
2021-01-09,8
2021-01-10,7
2021-01-11,9
2021-01-12,NA
2021-01-13,7
2021-01-14,6
2021-01-15,NA
2021-01-16,5
2021-01-17,5
2021-01-18,8
2021-01-19,6
2021-01-20,7
2021-01-21,NA
2021-01-22,7
2021-01-23,7
2021-01-24,NA
2021-01-25,NA
2021-01-26,7
2021-01-27,12
2021-01-28,NA
2021-01-29,9
2021-01-30,13
2021-01-31,15
2021-02-01,5
2021-02-02,9
2021-02-03,11
2021-02-04,8
2021-02-05,7
2021-02-06,6
2021-02-07,8
2021-02-08,12
2021-02-09,13
2021-02-10,9
2021-02-11,8
2021-02-12,9
2021-02-13,10
2021-02-14,7
2021-02-15,6
2021-02-16,5
2021-02-17,7
2021-02-18,8
2021-02-19,6
2021-02-20,10
2021-02-21,7
2021-02-22,8
2021-02-23,11
2021-02-24,7
2021-02-25,12
2021-02-26,8
2021-02-27,10
2021-02-28,10
2021-03-01,7
2021-03-02,12
2021-03-03,7
2021-03-04,8
2021-03-05,10
2021-03-06,13
2021-03-07,16
2021-03-08,6
2021-03-09,7
2021-03-10,NA
2021-03-11,14
2021-03-12,7
2021-03-13,12
2021-03-14,9
2021-03-15,5
2021-03-16,8
2021-03-17,8
2021-03-18,NA
2021-03-19,9
2021-03-20,8
2021-03-21,7
2021-03-22,9
2021-03-23,NA
2021-03-24,14
2021-03-25,8
2021-03-26,7
2021-03-27,12
2021-03-28,10
2021-03-29,9
2021-03-30,16
2021-03-31,12
2021-04-01,10
2021-04-02,8
2021-04-03,9
2021-04-04,18
2021-04-05,14
2021-04-06,11
2021-04-07,9
2021-04-08,10
2021-04-09,12
2021-04-10,12
2021-04-11,11
2021-04-12,15
2021-04-13,9
2021-04-14,18
2021-04-15,10
2021-04-16,8
2021-04-17,9
2021-04-18,13
2021-04-19,8
2021-04-20,9
2021-04-21,17
2021-04-22,18
2021-04-23,10
2021-04-24,14
2021-04-25,9
2021-04-26,17
2021-04-27,13
2021-04-28,13
2021-04-29,8
2021-04-30,10
2021-05-01,8
2021-05-02,8
2021-05-03,13
2021-05-04,12
2021-05-05,8
2021-05-06,15
2021-05-07,10
2021-05-08,10
2021-05-09,12
2021-05-10,9
2021-05-11,14
2021-05-12,12
2021-05-13,11
2021-05-14,10
2021-05-15,11
2021-05-16,9
2021-05-17,14
2021-05-18,7
2021-05-19,10
2021-05-20,13
2021-05-21,9
2021-05-22,21
2021-05-23,11
2021-05-24,17
2021-05-25,11
2021-05-26,12
2021-05-27,5
2021-05-28,6
2021-05-29,6
2021-05-30,11
2021-05-31,15
2021-06-01,14
2021-06-02,9
2021-06-03,12
2021-06-04,18
2021-06-05,10
2021-06-06,10
2021-06-07,10
2021-06-08,10
2021-06-09,11
2021-06-10,13
2021-06-11,15
2021-06-12,12
2021-06-13,16
2021-06-14,13
2021-06-15,14
2021-06-16,12
2021-06-17,13
2021-06-18,27
2021-06-19,10
2021-06-20,17
2021-06-21,17
2021-06-22,11
2021-06-23,11
2021-06-24,16
2021-06-25,13
2021-06-26,13
2021-06-27,18
2021-06-28,13
2021-06-29,13
2021-06-30,13
2021-07-01,14
2021-07-02,17
2021-07-03,11
2021-07-04,10
2021-07-05,15
2021-07-06,14
2021-07-07,15
2021-07-08,13
2021-07-09,9
2021-07-10,10
2021-07-11,18
2021-07-12,12
2021-07-13,6
2021-07-14,7
2021-07-15,9
2021-07-16,11
2021-07-17,16
2021-07-18,13
2021-07-19,9
2021-07-20,12
2021-07-21,12
2021-07-22,16
2021-07-23,16
2021-07-24,16
2021-07-25,14
2021-07-26,19
2021-07-27,9
2021-07-28,17
2021-07-29,16
2021-07-30,11
2021-07-31,9
2021-08-01,16
2021-08-02,7
2021-08-03,10
2021-08-04,13
2021-08-05,12
2021-08-06,11
2021-08-07,11
2021-08-08,19
2021-08-09,17
2021-08-10,13
2021-08-11,16
2021-08-12,11
2021-08-13,20
2021-08-14,27
2021-08-15,25
2021-08-16,18
2021-08-17,9
2021-08-18,10
2021-08-19,17
2021-08-20,20
2021-08-21,16
2021-08-22,17
2021-08-23,10
2021-08-24,7
2021-08-25,15
2021-08-26,23
2021-08-27,16
2021-08-28,18
2021-08-29,15
2021-08-30,9
2021-08-31,20
2021-09-01,18
2021-09-02,19
2021-09-03,15
2021-09-04,24
2021-09-05,12
2021-09-06,24
2021-09-07,12
2021-09-08,18
2021-09-09,NA
2021-09-10,18
2021-09-11,24
2021-09-12,17
2021-09-13,13
2021-09-14,12
2021-09-15,11
2021-09-16,11
2021-09-17,16
2021-09-18,22
2021-09-19,18
2021-09-20,11
2021-09-21,17
2021-09-22,12
2021-09-23,12
2021-09-24,14
2021-09-25,10
2021-09-26,13
2021-09-27,10
2021-09-28,7
2021-09-29,12
2021-09-30,8
2021-10-01,14
2021-10-02,11
2021-10-03,16
2021-10-04,16
2021-10-05,7
2021-10-06,11
2021-10-07,8
2021-10-08,12
2021-10-09,15
2021-10-10,11
2021-10-11,17
2021-10-12,14
2021-10-13,7
2021-10-14,12
2021-10-15,15
2021-10-16,20
2021-10-17,16
2021-10-18,13
2021-10-19,11
2021-10-20,12
2021-10-21,10
2021-10-22,13
2021-10-23,10
2021-10-24,12
2021-10-25,12
2021-10-26,13
2021-10-27,14
2021-10-28,15
2021-10-29,12
2021-10-30,15
2021-10-31,18
2021-11-01,14
2021-11-02,12
2021-11-03,12
2021-11-04,16
2021-11-05,11
2021-11-06,10
2021-11-07,19
2021-11-08,12
2021-11-09,11
2021-11-10,9
2021-11-11,6
2021-11-12,13
2021-11-13,21
2021-11-14,19
2021-11-15,11
2021-11-16,9
2021-11-17,11
2021-11-18,14
2021-11-19,14
2021-11-20,19
2021-11-21,14
2021-11-22,19
2021-11-23,8
2021-11-24,10
2021-11-25,13
2021-11-26,13
2021-11-27,28
2021-11-28,23
2021-11-29,14
2021-11-30,17
2021-12-01,19
2021-12-02,18
2021-12-03,12
2021-12-04,23
2021-12-05,16
2021-12-06,16
2021-12-07,21
2021-12-08,20
2021-12-09,20
2021-12-10,13
2021-12-11,23
2021-12-12,19
2021-12-13,6
2021-12-14,10
2021-12-15,13
2021-12-16,9
2021-12-17,8
2021-12-18,12
2021-12-19,19
2021-12-20,12
2021-12-21,10
2021-12-22,17
2021-12-23,12
2021-12-24,11
2021-12-25,20
2021-12-26,20
2021-12-27,22
2021-12-28,15
2021-12-29,12
2021-12-30,21
2021-12-31,15
2022-01-01,14
2022-01-02,21
2022-01-03,10
2022-01-04,15
2022-01-05,10
2022-01-06,14
2022-01-07,12
2022-01-08,17
2022-01-09,14
2022-01-10,15
2022-01-11,7
2022-01-12,10
2022-01-13,17
2022-01-14,20
2022-01-15,14
2022-01-16,17
2022-01-17,17
2022-01-18,22
2022-01-19,16
2022-01-20,16
2022-01-21,19
2022-01-22,21
2022-01-23,22
2022-01-24,22
2022-01-25,19
2022-01-26,16
2022-01-27,13
2022-01-28,9
2022-01-29,21
2022-01-30,26
2022-01-31,18
2022-02-01,17
2022-02-02,14
2022-02-03,16
2022-02-04,11
2022-02-05,12
2022-02-06,20
2022-02-07,19
2022-02-08,10
2022-02-09,14
2022-02-10,17
2022-02-11,14
2022-02-12,24
2022-02-13,NA
2022-02-14,8
2022-02-15,19
2022-02-16,21
2022-02-17,16
2022-02-18,18
2022-02-19,21
2022-02-20,27
2022-02-21,13
2022-02-22,20
2022-02-23,17
2022-02-24,9
2022-02-25,13
2022-02-26,17
2022-02-27,12
2022-02-28,14
2022-03-01,13
2022-03-02,21
2022-03-03,16
2022-03-04,18
2022-03-05,26
2022-03-06,28
2022-03-07,18
2022-03-08,21
2022-03-09,14
2022-03-10,19
2022-03-11,27
2022-03-12,33
2022-03-13,18
2022-03-14,18
2022-03-15,14
2022-03-16,21
2022-03-17,20
2022-03-18,26
2022-03-19,38
2022-03-20,31
2022-03-21,18
2022-03-22,16
2022-03-23,22
2022-03-24,18
2022-03-25,21
2022-03-26,28
2022-03-27,29
2022-03-28,18
2022-03-29,18
2022-03-30,20
2022-03-31,23
2022-04-01,22
2022-04-02,29
2022-04-03,30
2022-04-04,16
2022-04-05,30
2022-04-06,20
2022-04-07,9
2022-04-08,15
2022-04-09,16
2022-04-10,23
2022-04-11,20
2022-04-12,17
2022-04-13,20
2022-04-14,17
2022-04-15,24
2022-04-16,23
2022-04-17,23
2022-04-18,16
2022-04-19,17
2022-04-20,14
2022-04-21,9
2022-04-22,16
2022-04-23,14
2022-04-24,16
2022-04-25,15
2022-04-26,15
2022-04-27,11
2022-04-28,11
2022-04-29,10
2022-04-30,11
2022-05-01,9
2022-05-02,15
2022-05-03,7
2022-05-04,9
2022-05-05,13
2022-05-06,8
2022-05-07,16
2022-05-08,13
2022-05-09,8
2022-05-10,15
2022-05-11,14
2022-05-12,10
2022-05-13,20
2022-05-14,14
2022-05-15,25
2022-05-16,15
2022-05-17,14
2022-05-18,16
2022-05-19,18
2022-05-20,19
2022-05-21,17
2022-05-22,10
2022-05-23,15
2022-05-24,21
2022-05-25,16
2022-05-26,21
2022-05-27,20
2022-05-28,12
2022-05-29,24
2022-05-30,23
2022-05-31,14
2022-06-01,18
2022-06-02,11
2022-06-03,17
2022-06-04,20
2022-06-05,15
2022-06-06,28
2022-06-07,14
2022-06-08,20
2022-06-09,14
2022-06-10,26
2022-06-11,12
2022-06-12,24
2022-06-13,20
2022-06-14,12
2022-06-15,18
2022-06-16,14
2022-06-17,23
2022-06-18,14
2022-06-19,26
2022-06-20,21
2022-06-21,17
2022-06-22,17
2022-06-23,24
2022-06-24,20
2022-06-25,24
2022-06-26,17
2022-06-27,15
2022-06-28,19
2022-06-29,10
2022-06-30,16
2022-07-01,16
2022-07-02,18
2022-07-03,26
2022-07-04,22
2022-07-05,21
2022-07-06,14
2022-07-07,13
2022-07-08,17
2022-07-09,32
2022-07-10,22
2022-07-11,18
2022-07-12,13
2022-07-13,12
2022-07-14,22
2022-07-15,16
2022-07-16,13
2022-07-17,14
2022-07-18,21
2022-07-19,14
2022-07-20,9
2022-07-21,12
2022-07-22,17
2022-07-23,25
2022-07-24,21
2022-07-25,17
2022-07-26,14
2022-07-27,12
2022-07-28,15
2022-07-29,14
2022-07-30,11
2022-07-31,12
2022-08-01,18
2022-08-02,11
2022-08-03,12
2022-08-04,7
2022-08-05,7
2022-08-06,13
2022-08-07,14
2022-08-08,11
2022-08-09,12
2022-08-10,12
2022-08-11,19
2022-08-12,10
2022-08-13,14
2022-08-14,11
2022-08-15,15
2022-08-16,17
2022-08-17,14
2022-08-18,13
2022-08-19,17
2022-08-20,12
2022-08-21,18
2022-08-22,18
2022-08-23,15
2022-08-24,9
2022-08-25,8
2022-08-26,13
2022-08-27,10
2022-08-28,15
2022-08-29,9
2022-08-30,13
2022-08-31,11
2022-09-01,12
2022-09-02,14
2022-09-03,8
2022-09-04,18
2022-09-05,16
2022-09-06,13
2022-09-07,11
2022-09-08,12
2022-09-09,14
2022-09-10,18
2022-09-11,17
2022-09-12,11
2022-09-13,12
2022-09-14,15
2022-09-15,12
2022-09-16,14
2022-09-17,16
2022-09-18,21
2022-09-19,17
2022-09-20,10
2022-09-21,10
2022-09-22,15
2022-09-23,11
2022-09-24,15
2022-09-25,22
2022-09-26,13
2022-09-27,11
2022-09-28,10
2022-09-29,11
2022-09-30,12
2022-10-01,16
2022-10-02,15
2022-10-03,17
2022-10-04,13
2022-10-05,18
2022-10-06,16
2022-10-07,16
2022-10-08,15
2022-10-09,7
2022-10-10,11
2022-10-11,15
2022-10-12,18
2022-10-13,10
2022-10-14,11
2022-10-15,13
2022-10-16,15
2022-10-17,10
2022-10-18,12
2022-10-19,12
2022-10-20,14
2022-10-21,13
2022-10-22,13
2022-10-23,12
2022-10-24,12
2022-10-25,11
2022-10-26,9
2022-10-27,15
2022-10-28,14
2022-10-29,19
2022-10-30,18
2022-10-31,14
2022-11-01,12
2022-11-02,8
2022-11-03,10
2022-11-04,9
2022-11-05,21
2022-11-06,21
2022-11-07,16
2022-11-08,15
2022-11-09,26
2022-11-10,14
2022-11-11,18
2022-11-12,22
2022-11-13,16
2022-11-14,23
2022-11-15,22
2022-11-16,19
2022-11-17,16
2022-11-18,13
2022-11-19,19
2022-11-20,31
2022-11-21,18
2022-11-22,15
2022-11-23,15
2022-11-24,23
2022-11-25,21
2022-11-26,15
2022-11-27,23
2022-11-28,24
2022-11-29,18
2022-11-30,22
2022-12-01,17
2022-12-02,24
2022-12-03,22
2022-12-04,20
2022-12-05,20
2022-12-06,24
2022-12-07,13
2022-12-08,23
2022-12-09,25
2022-12-10,23
2022-12-11,30
2022-12-12,17
2022-12-13,23
2022-12-14,27
2022-12-15,36
2022-12-16,26
2022-12-17,32
2022-12-18,51
2022-12-19,36
2022-12-20,37
2022-12-21,33
2022-12-22,35
2022-12-23,32
2022-12-24,40
2022-12-25,56
2022-12-26,41
2022-12-27,34
2022-12-28,36
2022-12-29,36
2022-12-30,28
2022-12-31,38
2023-01-01,40
2023-01-02,47
2023-01-03,20
2023-01-04,26
2023-01-05,20
2023-01-06,16
2023-01-07,21
2023-01-08,19
2023-01-09,14
2023-01-10,12
2023-01-11,12
2023-01-12,17
2023-01-13,14
2023-01-14,17
2023-01-15,15
2023-01-16,14
2023-01-17,11
2023-01-18,11
2023-01-19,12
2023-01-20,19
2023-01-21,20
2023-01-22,16
2023-01-23,13
2023-01-24,16
2023-01-25,14
2023-01-26,25
2023-01-27,15
2023-01-28,20
2023-01-29,26
2023-01-30,14
2023-01-31,18
2023-02-01,13
2023-02-02,18
2023-02-03,15
2023-02-04,21
2023-02-05,25
2023-02-06,20
2023-02-07,19
2023-02-08,18
2023-02-09,12
2023-02-10,21
2023-02-11,13
2023-02-12,30
2023-02-13,13
2023-02-14,10
2023-02-15,19
2023-02-16,21
2023-02-17,23
2023-02-18,29
2023-02-19,26
2023-02-20,26
2023-02-21,25
2023-02-22,21
2023-02-23,14
2023-02-24,31
2023-02-25,29
2023-02-26,25
2023-02-27,15
2023-02-28,18
2023-03-01,14
2023-03-02,14
2023-03-03,16
2023-03-04,25
2023-03-05,24
2023-03-06,26
2023-03-07,19
2023-03-08,20
2023-03-09,22
2023-03-10,17
2023-03-11,37
2023-03-12,24
2023-03-13,19
2023-03-14,13
2023-03-15,18
2023-03-16,14
2023-03-17,16
2023-03-18,19
2023-03-19,22
2023-03-20,12
2023-03-21,24
2023-03-22,11
2023-03-23,14
2023-03-24,20
2023-03-25,13
2023-03-26,22
2023-03-27,12
2023-03-28,15
2023-03-29,13
2023-03-30,17
2023-03-31,14
2023-04-01,11
2023-04-02,23
2023-04-03,15
2023-04-04,10
2023-04-05,22
2023-04-06,20
2023-04-07,24
2023-04-08,21
2023-04-09,23
2023-04-10,15
2023-04-11,15
2023-04-12,7
2023-04-13,8
2023-04-14,14
2023-04-15,19
2023-04-16,9
2023-04-17,14
2023-04-18,9
2023-04-19,17
2023-04-20,8
2023-04-21,8
2023-04-22,17
2023-04-23,11
2023-04-24,9
2023-04-25,14
2023-04-26,9
2023-04-27,12
2023-04-28,7
2023-04-29,5
2023-04-30,10
2023-05-01,7
2023-05-02,14
2023-05-03,9
2023-05-04,7
2023-05-05,10
2023-05-06,10
2023-05-07,15
2023-05-08,10
2023-05-09,9
2023-05-10,10
2023-05-11,8
2023-05-12,NA
2023-05-13,9
2023-05-14,11
2023-05-15,10
2023-05-16,13
2023-05-17,9
2023-05-18,13
2023-05-19,17
2023-05-20,8
2023-05-21,13
2023-05-22,9
2023-05-23,12
2023-05-24,NA
2023-05-25,12
2023-05-26,6
2023-05-27,15
2023-05-28,8
2023-05-29,12
2023-05-30,12
2023-05-31,7
2023-06-01,12
2023-06-02,12
2023-06-03,9
2023-06-04,10
2023-06-05,11
2023-06-06,9
2023-06-07,13
2023-06-08,10
2023-06-09,6
2023-06-10,16
2023-06-11,11
2023-06-12,12
2023-06-13,7
2023-06-14,13
2023-06-15,9
2023-06-16,14
2023-06-17,14
2023-06-18,11
2023-06-19,15
2023-06-20,5
2023-06-21,12
2023-06-22,13
2023-06-23,9
2023-06-24,6
2023-06-25,10
2023-06-26,11
2023-06-27,13
2023-06-28,11
2023-06-29,5
2023-06-30,13
